publication_number,filing_date,publication_date,title,abstract,cpc_codes,cited_patents
US-11172266-B2,20191104,20211109,System to correct closed captioning display using context from audio/video,"Embodiments are directed towards the analysis of the audiovisual content to adjust the timing, duration, or positioning of closed captioning so that the closed captioning more closely aligns with the scene being presented. Content that incudes video, audio, and closed captioning is obtained, and the audio is converted to text. A duration and timing for the closed captioning is determined based on a comparison between the closed captioning and the audio text. Scene context is determined for the content based on analysis of the video and the audio, such as by employing trained artificial neural networks. A display position of the closed captioning is determined based on the scene context. The duration and timing of the closed captioning are modified based on the scene context. The video and closed captioning are provided to a content receiver for presentation to a user based on the display position, duration, and timing.",G06N3/045|G06N3/0464|G06N3/09|G06N3/08,US-2008284910-A1|US-2010332214-A1|US-2011134321-A1|US-2016014482-A1|US-10299008-B1
US-2023379347-A1,20220519,20231123,Method and system for anomaly detection,"Example aspects include techniques for anomaly detection via sparse judgmental samples. These techniques may include determining, for an observation, anomalous autoencoder output (AAO) of a first layer of a first autoencoder trained used anomalous observations and determining, for the observation, conforming autoencoder output (CAO) of a second layer of a second autoencoder trained used conforming observations. In addition, the techniques may include calculating an anomaly value based on comparing the AAO to an anomalous signature output by the first layer of the first autoencoder, and calculating a conforming value based on comparing the CAO to a conforming signature output by the second layer of the second autoencoder. Further, the techniques may include determining whether the observation is anomalous based on comparing the anomaly value to the conforming value.",G06N3/04|G06N3/0455|G06N3/084|G06N3/04,US-2021344695-A1
US-12073325-B2,20230620,20240827,Distance estimation to objects and free-space boundaries in autonomous machine applications,"In various examples, a deep neural network (DNN) is trained—using image data alone—to accurately predict distances to objects, obstacles, and/or a detected free-space boundary. The DNN may be trained with ground truth data that is generated using sensor data representative of motion of an ego-vehicle and/or sensor data from any number of depth predicting sensors—such as, without limitation, RADAR sensors, LIDAR sensors, and/or SONAR sensors. The DNN may be trained using two or more loss functions each corresponding to a particular portion of the environment that depth is predicted for, such that—in deployment—more accurate depth estimates for objects, obstacles, and/or the detected free-space boundary are computed by the DNN.",G06N3/0464|G06N3/09|G06N3/045|G06N3/042|G06N3/08|G06N3/08|G06N3/08,US-2004016870-A1|US-2004252864-A1|US-2005196034-A1|US-2007154068-A1|US-2007182528-A1|EP-1930868-A1|EP-1930863-A2|US-7409295-B2|US-2008266396-A1|US-2009088941-A1|US-2009256840-A1|US-2010045448-A1|US-2010149193-A1|US-2010322476-A1|EP-2384009-A2|WO-2012011713-A2|KR-20120009590-A|US-8204542-B2|US-2013106837-A1|US-2013121551-A1|US-2014104424-A1|US-2015054824-A1|US-2015067672-A1|US-2015278578-A1|US-2015346716-A1|US-2016098839-A1|US-2016166333-A1|US-9373057-B1|US-2016247290-A1|US-2016321074-A1|WO-2016183074-A1|US-2017010108-A1|US-2017061632-A1|US-2017061625-A1|US-2017090478-A1|US-2017116781-A1|US-2017124717-A1|DE-102015226762-A1|US-9701307-B1|US-9710714-B2|US-2017220876-A1|US-2017236013-A1|US-9742869-B2|US-2017259801-A1|WO-2017177128-A1|US-2017344808-A1|US-2017371346-A1|US-2017371340-A1|WO-2017220705-A1|WO-2018002910-A1|CN-107589418-A|US-2018059679-A1|US-2018089833-A1|CN-107862287-A|US-2018136332-A1|WO-2018102717-A1|US-2018158244-A1|US-10007269-B1|US-2018188059-A1|US-2018189974-A1|WO-2018128741-A1|US-2018203959-A1|US-2018218214-A1|US-2018232663-A1|US-2018267558-A1|US-2018276278-A1|US-2018300590-A1|US-10108867-B1|US-2018304468-A1|US-10133274-B2|US-10134278-B1|US-2018348374-A1|US-2018349746-A1|US-10157331-B1|US-2018370540-A1|US-2018373980-A1|US-2019016285-A1|US-2019066328-A1|US-2019071101-A1|US-2019080604-A1|US-2019094981-A1|US-2019102668-A1|US-2019102646-A1|US-2019101399-A1|US-2019129831-A1|US-10282995-B2|US-10289469-B2|US-2019147600-A1|US-2019147610-A1|US-2019171912-A1|US-2019179979-A1|US-2019213481-A1|US-2019235515-A1|US-10372136-B2|US-2019243371-A1|US-10380886-B2|US-2019251442-A1|US-2019250622-A1|US-10410368-B1|US-2019287257-A1|US-2019295282-A1|US-2019302761-A1|US-10452947-B1|US-10489972-B2|US-2020013176-A1|US-10580158-B1|US-10625748-B1|US-10635110-B2|US-2020143205-A1|US-2020160559-A1|US-2020175311-A1|US-10730517-B2|US-10740954-B2|US-10739778-B2|US-2020257306-A1|US-10776985-B2|US-10829793-B2|US-10829116-B2|US-10885698-B2|US-2021025696-A1|US-10942030-B2|US-2021089794-A1|US-11042163-B2|US-2021286923-A1|US-2022253706-A1|US-11704890-B2|US-11769052-B2|US-11790230-B2|US-2024135173-A1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
US-2023143798-A1,20221102,20230511,Processing element and neural processing device including same,"The present disclosure discloses a processing element and a neural processing device including the processing element. The processing element includes a weight register configured to store a weight, an input activation register configured to store an input activation, a flexible multiplier configured to receive a first sub-weight of a first precision included in the weight, receive a first sub-input activation of the first precision included in the input activation, and generate result data by performing multiplication calculation of the first sub-weight and the first sub-input activation as the first precision or a second precision different from the first precision according to the first sub-weight and the first sub-input activation and a saturating adder configured to generate a partial sum by using the result data.",G06N3/063|G06N3/063|G06N3/09|G06N3/063|G06N3/0464|G06N3/0495,
US-11710043-B2,20220513,20230725,Non-uniform quantization of pre-trained deep neural network,"A system and a method of quantizing a pre-trained neural network, includes determining by a layer/channel bit-width determiner for each layer or channel of the pre-trained neural network a minimum quantization noise for the layer or the channel for each master bit-width value in a predetermined set of master bit-width values; and selecting by a bit-width selector for the layer or the channel the master bit-width value having the minimum quantization noise for the layer or the channel. In one embodiment, the minimum quantization noise for the layer or the channel is based on a square of a range of weights for the layer or the channel that is multiplied by a constant to a negative power of a current master bit-width value.",G06N3/0495|G06N3/082|G06N3/082|G06N3/04|G06N3/045|G06N3/063|G06N3/063|G06N3/082|G06N3/08|G06N3/082|G06N3/04|G06N3/04,US-2012002712-A1|US-2014050418-A1|US-2016328647-A1|US-2017270408-A1|US-2017286830-A1|US-2018046903-A1|US-9916531-B1|US-2018107926-A1||||||
US-11328609-B2,20210302,20220510,Unmanned vehicle recognition and threat management,"Systems and methods for automated unmanned aerial vehicle recognition. A multiplicity of receivers captures RF data and transmits the RF data to at least one node device. The at least one node device comprises a signal processing engine, a detection engine, a classification engine, and a direction finding engine. The at least one node device is configured with an artificial intelligence algorithm. The detection engine and classification engine are trained to detect and classify signals from unmanned vehicles and their controllers based on processed data from the signal processing engine. The direction finding engine is operable to provide lines of bearing for detected unmanned vehicles.",G06N3/045|G06N3/044|G06N3/08|G06N3/09|G06N3/0464|G06N3/084|G06N3/08,US-4215345-A|US-4501020-A|US-4638493-A|US-4928106-A|US-5134407-A|US-5230087-A|US-5293170-A|US-5343212-A|US-5393713-A|US-5506864-A|US-5513385-A|US-5548809-A|US-5570099-A|US-5589835-A|US-5612703-A|US-5831874-A|US-5835857-A|US-5856803-A|US-5936575-A|US-6018312-A|US-6085090-A|US-6115580-A|US-6134445-A|US-6144336-A|US-6157619-A|US-6191731-B1|US-6249252-B1|US-6286021-B1|US-2001020220-A1|US-6296612-B1|US-6304760-B1|US-6339396-B1|US-2002044082-A1|US-2002070889-A1|US-6418131-B1|US-2002097184-A1|US-2002119754-A1|US-2002161775-A1|US-6492945-B2|US-2003013454-A1|US-6512788-B1|US-2003087648-A1|US-2003104831-A1|US-2003145328-A1|US-6628231-B2|US-2003198304-A1|US-2003232612-A1|US-6677895-B1|US-6707910-B1|US-6711404-B1|US-6741595-B2|US-2004127214-A1|US-2004147254-A1|US-6771957-B2|US-6785321-B1|US-2004171390-A1|US-2004203826-A1|US-2004208238-A1|US-2004219885-A1|US-2004233100-A1|US-2005003828-A1|US-6850735-B2|US-6850557-B1|US-6859831-B1|US-6861982-B2|US-6876326-B2|US-2005096026-A1|US-2005107102-A1|US-6898197-B1|US-6898235-B1|US-6904269-B1|US-2005176401-A1|US-2005227625-A1|US-2005285792-A1|US-6985437-B1|US-2006025118-A1|US-7035593-B2|US-7043207-B2|US-7049965-B2|US-2006128311-A1|US-7110756-B2|US-7116943-B2|US-2006238417-A1|US-2006258347-A1|US-7146176-B2|US-7152025-B2|US-7151938-B2|US-7162207-B2|US-7171161-B2|US-7187326-B2|US-2007076657-A1|US-7206350-B2|US-2007098089-A1|US-7254191-B2|US-7269151-B2|US-2007223419-A1|US-2007233409-A1|US-7292656-B2|US-7298327-B2|US-2007293171-A1|US-2007297541-A1|US-2008001735-A1|US-2008010040-A1|US-2008090563-A1|US-7366463-B1|US-2008113634-A1|US-2008123731-A1|US-2008130519-A1|US-2008180325-A1|US-7408907-B2|US-2008186235-A1|US-2008195584-A1|US-2008209117-A1|US-2008211481-A1|US-7424268-B2|US-2008252516-A1|US-7459898-B1|US-7466960-B2|US-7471683-B2|US-2009011713-A1|US-2009046625-A1|US-2009046003-A1|US-2009066578-A1|US-2009111463-A1|US-2009143019-A1|US-2009149202-A1|US-7555262-B2|US-7564816-B2|US-2009190511-A1|US-2009207950-A1|US-2009224957-A1|US-7595754-B2|US-7606597-B2|US-7606335-B2|US-2009278733-A1|US-2009282130-A1|US-7620396-B2|US-2009286563-A1|US-2010020707-A1|US-2010056200-A1|US-7676192-B1|US-2010075704-A1|US-7692573-B1|US-7692532-B2|US-7702044-B2|US-7725110-B2|US-7728755-B1|US-2010172443-A1|US-2010173586-A1|US-2010176988-A1|US-2010220011-A1|US-7801490-B1|US-2010255794-A1|US-2010255801-A1|US-2010259998-A1|US-7835319-B2|US-2010309317-A1|US-7865140-B2|US-2011022342-A1|US-7893875-B1|US-2011045781-A1|US-2011053604-A1|US-2011059747-A1|US-2011070885-A1|US-2011077017-A1|US-2011074631-A1|US-2011087639-A1|US-2011090939-A1|US-7933344-B2|US-2011096770-A1|US-2011102258-A1|US-2011111751-A1|US-7945215-B2|US-2011116484-A1|US-2011117869-A1|US-2011122855-A1|US-7953549-B2|US-7965641-B2|US-2011185059-A1|US-2011183685-A1|US-8001901-B2|US-8006195-B1|US-8023957-B2|US-8027690-B2|US-8027249-B2|US-8026846-B2|US-2011237243-A1|US-8045660-B1|US-8055204-B2|US-2011273328-A1|US-8060104-B2|US-8059694-B2|US-8060017-B2|US-8060035-B2|US-8064840-B2|US-2011287779-A1|US-2011299481-A1|US-8077662-B2|US-RE43066-E|US-8094610-B2|US-2012014332-A1|US-8107391-B2|US-2012032854-A1|US-2012039284-A1|US-8125213-B2|US-2012052869-A1|US-8131239-B1|US-2012058775-A1|US-8134493-B2|US-2012071188-A1|US-2012072986-A1|US-2012077510-A1|US-8151311-B2|US-2012081248-A1|US-8155039-B2|US-8155649-B2|US-8160839-B1|US-2012094681-A1|US-2012100810-A1|US-8170577-B2|US-8175539-B2|US-2012115522-A1|US-2012115525-A1|US-2012120892-A1|US-8184653-B2|US-2012129522-A1|US-8193981-B1|US-2012140236-A1|US-2012142386-A1|US-2012148069-A1|US-2012148068-A1|US-2012155217-A1|US-8213868-B2|US-8224254-B2|US-2012182430-A1|US-8233928-B2|US-2012195269-A1|US-8238247-B2|US-8249631-B2|US-8249028-B2|US-2012212628-A1|US-2012214511-A1|US-8260207-B2|US-8265684-B2|US-2012230214-A1|US-2012246392-A1|US-8280433-B2|US-8279786-B1|US-8289907-B2|US-8290503-B2|US-2012264445-A1|US-2012264388-A1|US-8295877-B2|US-2012275354-A1|US-8305215-B2|US-2012282942-A1|US-2012281000-A1|US-8311509-B2|US-8311483-B2|US-8315571-B2|US-2012295575-A1|US-8320910-B2|US-2012302263-A1|US-2012302190-A1|US-8326240-B1|US-8326313-B2|US-8326309-B2|US-2012309288-A1|US-8335204-B2|US-2012322487-A1|US-8346273-B2|US-2013005374-A1|US-2013005240-A1|US-8350970-B2|US-2013012134-A1|US-2013017794-A1|US-8358723-B1|US-2013023285-A1|US-8364188-B2|US-2013028111-A1|US-8369305-B2|US-2013035108-A1|US-2013035128-A1|US-8373759-B2|US-2013045754-A1|US-2013053054-A1|US-2013052939-A1|US-8391796-B2|US-8391794-B2|US-2013064197-A1|US-2013064328-A1|US-8401564-B2|US-2013070639-A1|US-8406780-B2|US-8406776-B2|US-RE44142-E|US-2013090071-A1|US-8422453-B2|US-8422958-B2|US-8421676-B2|US-2013095843-A1|US-2013100154-A1|US-2013103684-A1|US-8437700-B2|US-8442445-B2|US-RE44237-E|US-8451751-B2|US-8463195-B2|US-8467353-B2|US-2013165134-A1|US-2013165170-A1|US-2013165051-A9|US-8483155-B1|US-2013183994-A1|US-2013183989-A1|US-8494464-B1|US-2013190003-A1|US-2013190028-A1|US-2013196677-A1|US-8504087-B2|US-8503955-B2|US-2013208587-A1|US-2013210473-A1|US-2013210457-A1|US-8515473-B2|US-8514729-B2|US-2013217408-A1|US-2013217406-A1|US-2013217450-A1|US-8520606-B2|US-8526974-B2|US-2013231121-A1|US-8532686-B2|US-RE44492-E|US-2013237212-A1|US-8538339-B2|US-2013242934-A1|US-2013242792-A1|US-8548521-B2|US-2013260703-A1|US-8554264-B1|US-2013265198-A1|US-8559301-B2|US-8565811-B2|US-2013288734-A1|US-8599024-B2|US-2013329690-A1|US-2014064723-A1|US-2014073261-A1|US-2014086212-A1|KR-20140041618-A|US-8718838-B2|US-2014163309-A1|US-8761051-B2|US-8780968-B1|US-2014201367-A1|US-2014206307-A1|US-8798548-B1|US-8805291-B1|US-8818283-B2|US-8824536-B1|US-2014269374-A1|US-2014269376-A1|US-8843155-B2|US-2014342675-A1|US-2014340684-A1|US-8977212-B2|US-2015072633-A1|US-9007262-B1|US-9078162-B2|US-9143968-B1|US-2015289254-A1|US-9185591-B2|US-2016014713-A1|US-9288683-B2|US-2016117853-A1|US-2016124071-A1|US-2016219506-A1|US-9412278-B1|US-9414237-B2|US-2016345135-A1|US-2016374088-A1|US-9529360-B1|US-9537586-B2|US-2017079007-A1|US-2017094527-A1|US-2017134631-A1|US-9658341-B2|US-2017148467-A1|US-9674684-B1|US-2017238203-A1|US-2017243139-A1|US-2017243138-A1|US-9749069-B2|US-2017250766-A1|US-2017289840-A1|US-2017290075-A1|US-2017374572-A1|US-2017374573-A1|US-2018014217-A1|US-2018024220-A1|US-2018083721-A1|US-9998243-B2|US-2018211179-A1|US-2018294901-A1|US-2018331863-A1|US-2019018103-A1|US-2019064130-A1|US-10251242-B1|US-2019180630-A1|US-10408936-B2|US-10529241-B2|US-10613209-B2|US-2020184832-A1|US-10943493-B2|||||
US-11983250-B2,20200414,20240514,Item-customer matching method and device based on vision and gravity sensing,"The present invention discloses an item-customer matching method and device based on vision and gravity sensing, and belongs to the technical field of computer. The method comprises acquiring the identity information of a customer and tracking the customer in real time in the shopping place, wherein shelves for carrying items are arranged; acquiring the shelf position of the shelf where the loading weight changes; identifying the items that cause changes in the loading weight of the shelf to obtain the item identification result; determining the identity information of the purchaser according to the shelf position, the hand position of the customer, and the action behavior of the customer, wherein the purchaser is a customer matching the item identification result. The device includes a customer tracking module, a shelf position acquiring module, an item identification result acquiring module, and a matching module. The present invention realizes the accurate matching between the item identification result and the customer by the above-mentioned technical solution, which is beneficial to the completion of the settlement work of the unmanned convenience store, and can also improve the accuracy of the item identification.",G06N3/045,US-2003182076-A1|US-2009063176-A1|CN-107833365-A|CN-107886655-A|CN-108198052-A|CN-108549851-A|CN-208188867-U|CN-109409291-A|CN-109649915-A|US-10318917-B1|CN-109886169-A|US-10586208-B2|US-2021056498-A1|US-2022230216-A1|
US-12586136-B2,20240702,20260324,Accelerated intelligent enterprise including timely vendor spend analytics,"An intelligent enterprise system and method is disclosed. The system and method include an input/output (IO) interface configured to receive information related to accounting information, a processor interconnected with a memory configured to store received information from the IO interface, and analyze the information to provide timely vendor spend analytics, and a display device configured to display the provided timely vendor spend analytics.",G06N3/042,US-5358278-A|US-2005015261-A1|US-2005055275-A1|US-7398234-B1|US-2009182654-A1|US-2009222364-A1|US-2009254971-A1|US-2010106680-A1|US-2011320397-A1|US-8255278-B1|US-2013073464-A1|US-8438091-B1|US-8732219-B1|US-2015039388-A1|US-2015121232-A1|US-2015121180-A1|US-2015142713-A1|US-2015221045-A1|US-2015332308-A1|US-2017011445-A1|US-2017161465-A1|US-2018144314-A1|US-2018350006-A1|US-10169353-B1|US-2019012733-A1|JP-2019109661-A|US-2019325211-A1|JP-2019194930-A|US-2020027172-A1|US-10607141-B2|US-2020111173-A1|US-2020322800-A1|US-2021192412-A1|US-11205147-B1||||||||
US-10867436-B2,20190418,20201215,Systems and methods for reconstruction of 3D anatomical images from 2D anatomical images,"There is provided a method of training a neural network for reconstructing of a 3D point cloud from 2D image(s), comprising: extracting point clouds each represented by an ordered list of coordinates, from 3D anatomical images depicting a target anatomical structure, selecting one of the plurality of point clouds as a template, non-rigidly registering the template with each of the point clouds to compute a respective warped template having a shape of the respective point cloud and retaining the coordinate order of the template, wherein the warped templates are consistent in terms of coordinate order, receiving 2D anatomical images depicting the target anatomical structure depicted in corresponding 3D anatomical images, and training a neural network, according to a training dataset of the warped templates and corresponding 2D images, for mapping 2D anatomical image(s) into a 3D point cloud.",G06N3/02|G06N3/02,US-2002015934-A1|US-2013144135-A1|US-2014163375-A1|US-2014336461-A1|US-2014379356-A1|US-2015206003-A1|US-2015328004-A1|US-2016008083-A1|US-2016278678-A1|US-2018053347-A1|US-2018168780-A1|US-2018189966-A1|US-2018218507-A1|US-2018270474-A1|US-2018330496-A1|US-2018338742-A1|US-2018368917-A1|US-2019200964-A1|US-2020121556-A1|US-2020194117-A1|US-2020219272-A1|US-2020226765-A1|US-2020320777-A1|US-2020320775-A1|||||||||||
US-2021406672-A1,20200626,20211230,Compute-in-memory deep neural network inference engine using low-rank approximation technique,"Non-volatile memory structures for performing compute in memory inferencing for neural networks are presented. To improve performance, both in terms of speed and energy consumption, weight matrices are replaced with their singular value decomposition (SVD) and use of a low rank approximations (LRAs). The decomposition matrices can be stored in a single array, with the resultant LRA matrices requiring fewer weight values to be stored. The reduced sizes of the LRA matrices allow for inferencing to be performed more quickly and with less power. In a high performance and energy efficiency mode, a reduced rank for the SVD matrices stored on a memory die is determined and used to increase performance and reduce power needed for an inferencing operation.",G06N3/045|G06N3/09|G06N3/0495|G06N3/0464|G06N3/063|G06N3/08|G06N3/04|G06N3/08|G06N3/063|G06N3/04|G06N3/063|G06N3/08,CN-109785826-A|US-2021011732-A1|US-2021034567-A1|US-2021295137-A1
US-10402719-B1,20160321,20190903,Generating output sequences from input sequences using neural networks,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for generating output sequences from input sequences. One of the methods includes obtaining an input sequence having a first number of inputs arranged according to an input order; processing each input in the input sequence using an encoder recurrent neural network to generate a respective encoder hidden state for each input in the input sequence; and generating an output sequence having a second number of outputs arranged according to an output order, each output in the output sequence being selected from the inputs in the input sequence, comprising, for each position in the output order: generating a softmax output for the position using the encoder hidden states that is a pointer into the input sequence; and selecting an input from the input sequence as the output at the position using the softmax output.",G06N3/045|G06N3/084|G06N3/044|G06N3/048|G06N3/04|G06N3/04|G06N3/09|G06N3/0455|G06N3/0442,US-9799327-B1||||||||||||||||||||||||||||
US-2021166067-A1,20210210,20210603,"Image suggestion apparatus, image suggestion method, and image suggestion program","A data storage unit collects and stores, for each user, data related to a “room-and-image” combination preferred by the user. A generation unit generates information which indicates a “room-and-image” relationship and in which a preference of the user is reflected by using the data collected for each user. In a case where a room image (second image) captured by the user is acquired, an image selection unit selects an image (third image) in which the preference of the user is reflected, from an image group registered in a content DB or an image group registered in a user image DB, based on the acquired second image and the information which indicates the “room-and-image” relationship, and suggests the selected image to the user. Thereby, it is possible to suggest an image which matches with the user&#39;s room and in which the preference of the user is reflected, as an image for decorating the user&#39;s room.",G06N3/045|G06N3/0475|G06N3/09|G06N3/0464,US-6112015-A|US-2001047250-A1|US-6584465-B1|US-2003151611-A1|US-2005100210-A1|US-7230629-B2|US-2009231356-A1|US-2011018895-A1|US-2011018896-A1|US-2012170840-A1|US-2013342564-A1|US-2014075361-A1|US-2014108942-A1|US-2015242095-A1|US-2016171304-A1|US-2016275702-A1|US-2017038829-A1|US-2017038837-A1|US-2017132822-A1|US-2017132694-A1|US-2018045963-A1|US-2018075658-A1|US-2018181199-A1|US-2018300023-A1|US-2018348861-A1|US-10699488-B1
US-11211944-B2,20200407,20211228,Mixed-precision compression with random access,"A data compressor includes a zero-value remover, a zero bit mask generator and a non-zero values packer. The zero-value remover receives 2N bit streams of values and outputs 2N non-zero-value bit streams having zero values removed from each respective bit stream based on a selected granularity of compression for values contained in the bit streams. The zero bit mask generator receives the 2N bit streams of values and generates a zero bit mask corresponding to the selected granularity of compression. Each zero bit mask indicates a location of a zero value based on the selected granularity of compression. The non-zero values packer receives the 2N non-zero-value bit streams and forms at least one first group of packed non-zero values.",G06N3/042|G06N3/084|G06N3/084|G06N3/0427,EP-0617518-A2|US-5499382-A|US-5696959-A|US-5727225-A|US-5798719-A|US-5805913-A|US-6032170-A|US-6370558-B1|US-6888941-B2|US-2005093873-A1|US-7174047-B2|US-2007285417-A1|US-2015378734-A1|US-2015379072-A1|US-9418458-B2|WO-2016186826-A1|US-2016358069-A1|EP-3104309-A2|US-2017011288-A1|WO-2017129325-A1|WO-2017142397-A1|WO-2017186830-A1|US-2017316312-A1|US-2017357891-A1|US-2018032859-A1|US-2018046906-A1|US-2018046894-A1|US-2018046913-A1|US-2018046916-A1|US-9904874-B2|US-2018101743-A1|US-2018129935-A1|US-2018129939-A1|US-2018150240-A1|US-2018181857-A1|US-2018188704-A1|US-2018189642-A1|US-2018259970-A1|GB-2560600-A|US-2018285254-A1|US-10096134-B2|US-2018307495-A1|US-2018307950-A1|US-2019042923-A1|US-2019066257-A1|US-2019065896-A1|US-2019079764-A1|US-2019087713-A1|US-2019095130-A1|US-2019108436-A1|US-2019114511-A1|US-2019156201-A1|US-2019236049-A1|WO-2019213745-A1|US-2019392287-A1|US-2020336273-A1||||||||||||||||||||||
US-10706333-B2,20180417,20200707,"Medical image analysis method, medical image analysis system and storage medium","A medical image analysis method, a medical image analysis system and a storage medium. The medical image analysis method includes: obtaining a medical image; processing the medical image by using a neural network, so as to determine a classification result of the medical image; and inputting the medical image into a computer aided diagnosis device corresponding to the classification result.",G06N3/044|G06N3/045|G06N3/08|G06N3/09|G06N3/0464|G06N3/084|G06N3/084|G06N3/0445|G06N3/08|G06N3/084|G06N3/0454,CN-103180878-A|US-2013208964-A1|US-2016117818-A1|US-2016148376-A1|CN-106056595-A|CN-106156793-A|CN-106780482-A|CN-106777953-A|US-9739783-B1|US-2018144466-A1|US-2018144214-A1|US-2018144465-A1|US-2019172581-A1|US-2019237186-A1|
US-11631198-B2,20210623,20230418,Targeted mapping of graphical data for compression,An apparatus to facilitate compute compression is disclosed. The apparatus includes a graphics processing unit including mapping logic to map a first block of integer pixel data to a compression block and compression logic to compress the compression block.,G06N3/0475|G06N3/0464|G06N3/0455|G06N3/09|G06N3/098|G06N3/0442|G06N3/0895|G06N3/0495|G06N3/063|G06N3/045|G06N3/048|G06N3/044|G06N3/063|G06N3/084|G06N3/048|G06N3/084|G06N3/0481|G06N3/063|G06N3/0445|G06N3/0454|G06N3/084,US-7873812-B1|US-2011235928-A1|US-2014168245-A1|US-2016062947-A1|US-9367519-B2|US-2016179574-A1|US-2016353122-A1|US-2017109274-A1|US-2018046906-A1|US-10528864-B2|US-10860922-B2|US-10891538-B2|||||
US-12084956-B2,20200922,20240910,Method and system for processing well log data from multiple wells using machine learning,"A method may include obtaining well log data regarding a geological region of interest. The well log data may correspond to logging-while-drilling (LWD) measurements or measurement-while-drilling (MWD) measurements acquired from various wellbores. The method may further include generating image data regarding the geological region of interest using the well log data and a recurrent neural network. The method may further include determining a drilling parameter for a wellbore among the wellbores in real-time using the image data. The drilling parameter may be determined while the well log data is being acquired in the wellbore. The method may further include transmitting, based on the drilling parameter, a command to a drilling system coupled to the wellbore.",G06N3/092|G06N3/09|G06N3/0442|G06N3/045|G06N3/044|G06N3/08|G06N3/044|G06N3/08|G06N3/006|G06N3/08|G06N3/045|G06N3/044,US-5812068-A|US-6377050-B1|US-6909667-B2|US-2005267719-A1|US-2006161406-A1|US-7129477-B2|US-2011232967-A1|US-2015129306-A1|US-2015300150-A1|US-2015300151-A1|US-2018334896-A1|US-2019197200-A9|US-2020126386-A1|CN-111206920-A|US-2020190966-A1|WO-2020191360-A1|US-2021326721-A1|US-2022010675-A1|US-2022170359-A1|||||||
US-10776417-B1,20180109,20200915,Parts-based visual similarity search,"Various embodiments provide for visual similarity based search techniques that certain desirable visual attributes of one or more items to search for items having similar visual attributes. In order to create an electronic catalog of items that is searchable by parts-based visual attributes, the visual attributes are identified and corresponding feature vectors are extracted from the image data of each item. Thus, feature values of parts-based visual attributes of items in the electronic catalog can be determined and used to select or rank the items in response to a search query based on desirable visual attributes. To conduct a search, a user may define desirable visual attributes of one or more items. The feature vectors of the desirable visual attributes are determined and used to query the electronic catalog of items, in which items having visual attributes of similar feature vectors are selected and returned as search results.",G06N3/045|G06N3/0464|G06N3/088|G06N3/02|G06N3/02,US-2008082426-A1|US-2008177640-A1|US-2008212899-A1|US-2013084002-A1|US-8949252-B2|US-8990199-B1|US-2015169740-A1|US-2016275518-A1|US-2016350336-A1|US-9830534-B1|US-9881226-B1|US-2018181569-A1|US-10083521-B1|US-10109051-B1|US-10140515-B1|US-10282431-B1
US-2020394024-A1,20200828,20201217,Program predictor,"A computer program predictor is described which has a processor configured to access a program attribute predictor; and a memory storing a search component configured to search a space of possible programs, to find a program which, given an input data instance and an output data instance, will compute the output data instance from the input data instance, the search being guided by attributes predicted by the attribute predictor given the input data instance and the output data instance.",G06N3/09|G06N3/045|G06N3/044|G06N3/048|G06N3/0442|G06N3/09|G06N3/0455|G06N3/0499|G06N3/084|G06N3/0454|G06N3/0481|G06N3/084|G06N3/0445,US-2003101152-A1|US-2012011084-A1|US-2012008838-A1|US-2012102417-A1|US-8606739-B2|US-2014236578-A1|US-2017075661-A1|US-2018067957-A1|US-2018144265-A1|US-2018203920-A1|US-2018200265-A1||||||
US-2020351242-A1,20200722,20201105,System and method for detecting generated domain,"A computer-implemented method for domain analysis comprises: obtaining, by a computing device, a domain; and inputting, by the computing device, the obtained domain to a trained detection model to determine if the obtained domain was generated by one or more domain generation algorithms. The detection model comprises a neural network model, a n-gram-based machine learning model, and an ensemble layer. Inputting the obtained domain to the detection model comprises inputting the obtained domain to each of the neural network model and the n-gram-based machine learning model. The neural network model and the n-gram-based machine learning model both output to the ensemble layer. The ensemble layer outputs a probability that the obtained domain was generated by the domain generation algorithms.",G06N3/044|G06N3/047|G06N3/0442|G06N3/09|G06N3/02|G06N3/084|G06N3/02,
US-11714961-B2,20200303,20230801,Methods and apparatus for suggesting and/or associating tags corresponding to identified image content and/or storing said image content in association with tags to facilitate retrieval and use,Methods and apparatus for using one or more feature recognition system(s) to identify features in a scanned image and to associate tags with identified features are described. Probabilities of a feature being present are taken into consideration in some embodiments. In various embodiments once a tag has been determined as corresponding to a feature which has been confirmed as being in the scanned image synonyms for the tag word are identified and also associated with the scanned image. By using results of multiple automated feature recognition systems and generating overall probabilities that a feature is present in an image more reliable tagging can be implemented in an automated manner than in system which rely on a single AI system without the need for extensive operator input with respect to identification of all features in the image which are to be tagged.,G06N3/0464|G06N3/045|G06N3/045|G06N3/045,US-5809493-A|US-2002077986-A1|US-2007240203-A1|US-2009083332-A1|US-7653592-B1|US-8649602-B2|US-2014184843-A1|US-2014201126-A1|CA-2850883-A1|US-2015220786-A1|US-2016072771-A1|US-2017243125-A1|WO-2018014109-A1|US-2018083771-A1|US-2019051398-A1|EP-3502979-A1|US-2019228174-A1|US-2020042645-A1|US-2020050842-A1|US-2020052882-A1|US-2020090012-A1|US-2021012164-A1|||||
